label,n,p,k,ph,temperature,rainfall,humidity,state,year,season,area,production,fertilizer,pesticide,yield
arecanut,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,93100.0,133342,8860327.0,28861.0,1.293571429
arhar/tur,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,421810.0,98473,40143657.7,130761.1,0.268235294
bajra,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,301149.0,132056,28660350.33,93356.19,0.404545455
bajra,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Summer     ,820.0,662,78039.4,254.2,0.81
black_pepper,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,3825.0,924,364025.25,1185.75,0.4375
cardamom,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,21230.0,1214,2020459.1,6581.3,0.058571429
coriander,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,17317.0,2853,1648058.89,5368.27,0.121333333
dry_chillies,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,186579.0,139206,17756723.43,57839.49,1.078333333
dry_chillies,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,4565.0,7895,434451.05,1415.15,1.869444444
garlic,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,5061.0,3799,481655.37,1568.91,1.585
ginger,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,3619.0,4745,344420.23,1121.89,1.262307692
groundnut,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,847666.0,525562,80672373.22,262776.46,0.709411765
groundnut,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,192416.0,181071,18312230.72,59648.96,1.133333333
horse-gram,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,178872.0,80124,17023248.24,55450.32,0.45
horse-gram,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,163173.0,82572,15529174.41,50583.63,0.514705882
jowar,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,389690.0,516093,37086797.3,120803.9,1.228
jowar,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,1501172.0,722773,142866539.2,465363.32,0.510714286
jowar,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Summer     ,6137.0,15135,584058.29,1902.47,2.470909091
maize,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,502797.0,1391132,47851190.49,155867.07,2.687777778
maize,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,48844.0,98932,4648483.48,15141.64,1.98
maize,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Summer     ,9730.0,20893,926004.1,3016.3,2.165714286
ragi,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,897921.0,1214282,85455141.57,278355.51,1.191333333
ragi,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,27104.0,33696,2579487.68,8402.24,1.312222222
ragi,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Summer     ,13521.0,25035,1286793.57,4191.51,1.847777778
rice,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Kharif     ,1031530.0,2340493,98170710.1,319774.3,2.2335
rice,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,53889.0,109350,5128616.13,16705.59,2.073846154
rice,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Summer     ,268044.0,762759,25509747.48,83093.64,2.829444444
sugarcane,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,308857.0,28999269,29393920.69,95745.67,91.74736842
turmeric,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Whole Year ,4342.0,24108,413228.14,1346.02,4.452941176
wheat,72,42,25,6.9,23.55,894.16,69.61,Karnataka,1997,Rabi       ,250698.0,118512,23858928.66,77716.38,0.548333333
arecanut,65,28,50,5.7,27.06,2005.29,78.82,Kerala,1997,Whole Year ,76145.0,93995,7246719.65,23604.95,1.147857143
black_pepper,65,28,50,5.7,27.06,2005.29,78.82,Kerala,1997,Whole Year ,173855.0,55520,16545780.35,53895.05,0.240714286
cashewnut,65,28,50,5.7,27.06,2005.29,78.82,Kerala,1997,Whole Year ,96073.0,74142,9143267.41,29782.63,0.589285714
coconut,65,28,50,5.7,27.06,2005.29,78.82,Kerala,1997,Whole Year ,884344.0,5210000000,84163018.48,274146.64,5376.054286
tapioca,65,28,50,5.7,27.06,2005.29,78.82,Kerala,1997,Whole Year ,132875.0,2841819,12645713.75,41191.25,22.80357143
arecanut,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,9569.0,12116,910681.73,2966.39,1.245714286
arhar/tur,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,865.0,683,82322.05,268.15,0.806666667
banana,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,5239.0,63011,498595.63,1624.09,11.20714286
castor_seed,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,30.0,15,2855.1,9.3,0.49
cotton(lint),52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,7544.0,5590,717962.48,2338.64,0.796666667
dry_chillies,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,1766.0,1106,168070.22,547.46,0.64
ginger,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,7357.0,45260,700165.69,2280.67,6.054285714
gram,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,443.0,270,42160.31,137.33,0.613333333
jute,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,4243.0,34683,403806.31,1315.33,8.436666667
linseed,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,50.0,22,4758.5,15.5,0.44
maize,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,17175.0,24878,1634544.75,5324.25,1.444285714
mesta,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,4688.0,21558,446156.96,1453.28,4.68
mesta,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,861.0,713,81941.37,266.91,0.7525
other__rabi_pulses,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,1909.0,1511,181679.53,591.79,0.777142857
potato,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,20764.0,200509,1976109.88,6436.84,8.641428571
rapeseed_&mustard,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,6914.0,4467,658005.38,2143.34,0.608571429
rice,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,105170.0,150101,10009028.9,32602.7,1.378571429
sesamum,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,1326.0,688,126195.42,411.06,0.575714286
small_millets,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,2804.0,2237,266856.68,869.24,0.861428571
soyabean,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Kharif     ,898.0,814,85462.66,278.38,0.921428571
sugarcane,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,82.0,225,7803.94,25.42,2.352
sweet_potato,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,5212.0,16978,496026.04,1615.72,3.221428571
tapioca,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,3959.0,21087,376778.03,1227.29,6.537142857
tobacco,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,742.0,505,70616.14,230.02,0.618
turmeric,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Whole Year ,1401.0,7126,133333.17,434.31,5.425714286
wheat,52,16,33,5.6,17.16,1954.46,77.31,Meghalaya,1997,Rabi       ,4287.0,6894,407993.79,1328.97,1.385
arecanut,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,8058.0,12423,766879.86,2497.98,1.691764706
arhar/tur,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,3630.0,2181,345467.1,1125.3,0.777692308
bajra,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,207.0,95,19700.19,64.17,0.426666667
barley,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,6116.0,5034,582059.72,1895.96,1.68
cardamom,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,2674.0,7,254484.58,828.94,0.0
castor_seed,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,660.0,46,62812.2,204.6,0.07
coconut,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,24273.0,306202300,2310061.41,7524.63,13003.78778
cotton(lint),85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,26000.0,52000,2474420.0,8060.0,2.0
dry_chillies,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,64034.0,55569,6094115.78,19850.54,0.942777778
gram,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,25485.0,16994,2425407.45,7900.35,0.5975
groundnut,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,29615.0,38672,2818459.55,9180.65,1.13
horse-gram,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,5645.0,2556,537234.65,1749.95,0.438888889
jowar,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,948.0,450,90221.16,293.88,0.482
jute,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,641574.0,7549700,61058597.58,198887.94,13.44588235
khesari,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,25261.0,28460,2404089.37,7830.91,1.095882353
linseed,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,16486.0,4210,1568972.62,5110.66,0.251538462
maize,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,35469.0,130390,3375584.73,10995.39,2.658461538
masoor,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,51202.0,35040,4872894.34,15872.62,0.662352941
mesta,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,9689.0,89000,922102.13,3003.59,9.154166667
moong(green_gram),85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,1490.0,711,141803.3,461.9,0.548888889
moong(green_gram),85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,3269.0,1710,311110.73,1013.39,0.542857143
moong(green_gram),85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Summer     ,9959.0,303,947798.03,3087.29,0.046
niger_seed,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,50808100.0,38657300,4835406877.0,15750511.0,0.698888889
niger_seed,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,6512.0,3522,619747.04,2018.72,0.40375
other_kharif_pulses,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,1279.0,725,121722.43,396.49,0.585
potato,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,284015.0,5581553,27029707.55,88044.65,18.23722222
ragi,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Autumn     ,12607.0,15330,1199808.19,3908.17,0.986
rapeseed_&mustard,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,327123.0,250950,31132295.91,101408.13,0.718333333
rice,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Autumn     ,423121.0,751970,40268425.57,131167.51,1.837222222
rice,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Summer     ,1206829.0,3569520,114853915.9,374116.99,2.843888889
rice,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Winter     ,4270328.0,8915100,406407115.8,1323801.68,1.985555556
safflower,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,10800.0,3000,1027836.0,3348.0,0.2975
sannhamp,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,2015.0,9073,191767.55,624.65,4.598571429
sesamum,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,127913.0,88943,12173480.21,39653.03,0.649444444
small_millets,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,5046.0,3222,480227.82,1564.26,0.626666667
soyabean,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,1555.0,1172,147989.35,482.05,1.196666667
sugarcane,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,25797.0,1818700,2455100.49,7997.07,67.83625
sunflower,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,278.0,1,26457.26,86.18,0.0
turmeric,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Whole Year ,12481.0,23556,1187816.77,3869.11,1.661111111
urad,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Kharif     ,69271.0,44480,6592521.07,21474.01,1.825
urad,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,16694.0,10553,1588767.98,5175.14,0.628333333
wheat,85,40,45,6.2,25.85,1564.19,72.28,West Bengal,1997,Rabi       ,367374.0,810480,34962983.58,113885.94,1.886666667
arecanut,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,66.0,23,6520.8,19.14,0.35
bajra,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,149.0,324,14721.2,43.21,2.17
black_pepper,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,12.0,7,1185.6,3.48,0.58
coriander,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,2.0,1,197.6,0.58,0.5
cotton(lint),88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Summer     ,453.0,372,44756.4,131.37,0.84
dry_chillies,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,8.0,23,790.4,2.32,2.75
groundnut,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Rabi       ,1046.0,2062,103344.8,303.34,1.54
onion,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,26.0,429,2568.8,7.54,16.5
ragi,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,112.0,366,11065.6,32.48,3.27
rice,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,4945.0,11518,488566.0,1434.05,2.46
rice,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Rabi       ,13961.0,30220,1379346.8,4048.69,2.555
rice,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Summer     ,5716.0,14863,564740.8,1657.64,2.55
sesamum,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,147.0,120,14523.6,42.63,0.806666667
small_millets,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,4.0,3,395.2,1.16,0.75
sugarcane,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,2710.0,232369,267748.0,785.9,82.595
tapioca,88,55,40,7.0,28.33,1124.51,75.47,Puducherry,1998,Kharif     ,649.0,19110,64121.2,188.21,20.0
arecanut,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,74457.0,55355,7356351.6,21592.53,0.784347826
arhar/tur,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,7657.0,5389,756511.6,2220.53,0.709130435
banana,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,41885.0,581884,4138238.0,12146.65,13.78826087
castor_seed,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,1728.0,708,170726.4,501.12,0.411428571
coconut,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,20166.0,149866000,1992400.8,5848.14,6045.886957
cotton(lint),60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,1652.0,751,163217.6,479.08,0.399130435
dry_chillies,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,14724.0,9690,1454731.2,4269.96,0.636956522
gram,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Rabi       ,3002.0,1503,296597.6,870.58,0.460454545
jute,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,78702.0,687173,7775757.6,22823.58,9.040869565
linseed,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Rabi       ,10222.0,5212,1009933.6,2964.38,0.480909091
maize,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,19810.0,13965,1957228.0,5744.9,0.608695652
mesta,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,5260.0,25623,519688.0,1525.4,4.9105
niger_seed,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,8753.0,4478,864796.4,2538.37,0.520555556
onion,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,8083.0,18341,798600.4,2344.07,2.340434783
other__rabi_pulses,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Rabi       ,116141.0,62330,11474730.8,33680.89,0.50826087
potato,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,76958.0,611077,7603450.4,22317.82,7.230434783
rapeseed_&mustard,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Rabi       ,288829.0,135631,28536305.2,83760.41,0.473478261
rice,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Autumn     ,594979.0,520605,58783925.2,172543.91,1.055652174
rice,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Summer     ,223913.0,446114,22122604.4,64934.77,1.685217391
rice,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Winter     ,1635230.0,2288114,161560724.0,474216.7,1.395652174
sesamum,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,15940.0,8210,1574872.0,4622.6,0.485217391
small_millets,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Kharif     ,10547.0,5450,1042043.6,3058.63,0.521363636
sugarcane,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,30571.0,1223578,3020414.8,8865.59,39.89304348
sweet_potato,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,9433.0,32437,931980.4,2735.57,3.435652174
tapioca,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,2798.0,13261,276442.4,811.42,4.445217391
tobacco,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,1465.0,732,144742.0,424.85,0.569545455
turmeric,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Whole Year ,10729.0,7416,1060025.2,3111.41,0.666956522
wheat,60,18,38,5.8,22.98,1701.15,73.03,Assam,1998,Rabi       ,89591.0,90509,8851590.8,25981.39,0.999545455
arecanut,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,1500.0,1820,148200.0,435.0,1.21
banana,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,1900.0,14400,187720.0,551.0,7.58
black_pepper,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,250.0,70,24700.0,72.5,0.28
cashewnut,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,52875.0,15000,5224050.0,15333.75,0.28
coconut,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,24858.0,121000000,2455970.4,7208.82,4867.65
groundnut,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Kharif     ,350.0,412,34580.0,101.5,1.18
groundnut,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Rabi       ,1048.0,2124,103542.4,303.92,2.03
other__rabi_pulses,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Rabi       ,8671.0,9220,856694.8,2514.59,1.06
other_kharif_pulses,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Kharif     ,1200.0,324,118560.0,348.0,0.27
ragi,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Kharif     ,2500.0,2476,247000.0,725.0,0.99
rice,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Kharif     ,41000.0,104249,4050800.0,11890.0,2.54
rice,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Rabi       ,15439.0,46925,1525373.2,4477.31,3.04
sugarcane,65,25,45,6.2,27.35,2059.15,74.64,Goa,1998,Whole Year ,1320.0,64000,130416.0,382.8,48.48
arecanut,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,98047.0,648365,9687043.6,28433.63,6.232
arhar/tur,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,475396.0,221453,46969124.8,137864.84,0.400833333
bajra,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,415816.0,282231,41082620.8,120586.64,0.601764706
bajra,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Rabi       ,451.0,536,44558.8,130.79,1.19
bajra,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Summer     ,846.0,498,83584.8,245.34,0.59
black_pepper,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,4387.0,10342,433435.6,1272.23,2.238
cardamom,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,20218.0,1153,1997538.4,5863.22,0.06
castor_seed,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,27246.0,23245,2691904.8,7901.34,0.831818182
coconut,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,310399.0,1611530000,30667421.2,90015.71,4692.261111
coriander,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,17935.0,2982,1771978.0,5201.15,0.118
cotton(lint),72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,636495.0,976876,62885706.0,184583.55,1.556521739
dry_chillies,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,170319.0,146498,16827517.2,49392.51,1.123703704
garlic,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Whole Year ,3574.0,3034,353111.2,1036.46,1.459411765
ginger,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,3896.0,51169,384924.8,1129.84,12.75944444
gram,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Rabi       ,355326.0,202508,35106208.8,103044.54,0.573478261
groundnut,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,1012577.0,929016,100042607.6,293647.33,0.8568
groundnut,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Rabi       ,217445.0,263118,21483566.0,63059.05,1.3052
horse-gram,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,189486.0,90718,18721216.8,54950.94,0.504615385
horse-gram,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Rabi       ,134779.0,62084,13316165.2,39085.91,0.4492
jowar,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Kharif     ,420808.0,616645,41575830.4,122034.32,1.305714286
jowar,72,42,25,6.9,23.73,1185.08,71.65,Karnataka,1998,Rabi       ,1420162.0,1003450,140312005.6,411846.98,0.7235
