label,n,p,k,temperature,humidity,soil_moisture,soil_type,fertilizer
sugarcane,35,0,0,34.0,65.0,60.0,Black,Urea
barley,10,35,0,35.0,67.0,42.0,Sandy,DAP
wheat,8,28,8,38.0,70.0,48.0,Loamy,14-35-14
oil_seeds,12,8,0,26.0,52.0,32.0,Black,20-20
paddy,24,18,0,29.0,58.0,43.0,Clayey,28-28
ground_nuts,41,0,0,30.0,60.0,29.0,Red,Urea
maize,5,29,9,33.0,64.0,51.0,Sandy,14-35-14
tobacco,23,21,0,34.0,65.0,31.0,Red,28-28
oil_seeds,13,14,0,36.0,68.0,33.0,Black,20-20
pulses,40,0,0,28.0,54.0,38.0,Clayey,Urea
barley,12,42,0,30.0,60.0,47.0,Sandy,DAP
cotton,11,15,12,31.0,62.0,63.0,Red,17-17-17
millets,23,24,0,27.0,53.0,43.0,Black,28-28
wheat,38,0,0,34.0,65.0,54.0,Loamy,Urea
millets,8,15,0,29.0,58.0,37.0,Sandy,20-20
sugarcane,11,15,13,25.0,50.0,56.0,Loamy,17-17-17
ground_nuts,15,37,0,32.0,62.0,34.0,Red,DAP
paddy,36,0,0,28.0,54.0,41.0,Clayey,Urea
wheat,13,9,0,30.0,60.0,49.0,Loamy,20-20
cotton,24,20,0,34.0,65.0,64.0,Black,28-28
barley,5,15,18,28.0,54.0,47.0,Sandy,10-26-26
oil_seeds,37,0,0,27.0,53.0,35.0,Black,Urea
cotton,15,40,0,36.0,68.0,62.0,Red,DAP
sugarcane,9,13,0,34.0,65.0,57.0,Black,20-20
sugarcane,8,33,8,29.0,58.0,55.0,Loamy,14-35-14
pulses,6,16,19,25.0,50.0,40.0,Clayey,10-26-26
millets,10,14,0,30.0,60.0,38.0,Sandy,20-20
pulses,21,23,0,26.0,52.0,39.0,Clayey,28-28
tobacco,39,0,0,31.0,62.0,32.0,Red,Urea
wheat,23,19,0,34.0,65.0,48.0,Loamy,28-28
oil_seeds,42,0,0,27.0,53.0,34.0,Black,Urea
ground_nuts,13,39,0,33.0,64.0,31.0,Red,DAP
paddy,9,22,10,29.0,58.0,42.0,Clayey,14-35-14
maize,22,21,0,30.0,60.0,47.0,Sandy,28-28
sugarcane,10,15,0,27.0,53.0,59.0,Loamy,20-20
pulses,7,20,16,26.0,52.0,36.0,Clayey,10-26-26
cotton,14,38,0,34.0,65.0,63.0,Red,DAP
paddy,10,29,8,28.0,54.0,43.0,Clayey,14-35-14
millets,41,0,0,30.0,60.0,40.0,Sandy,Urea
cotton,14,35,0,29.0,58.0,65.0,Black,DAP
sugarcane,11,9,0,26.0,52.0,59.0,Loamy,20-20
barley,21,28,0,31.0,62.0,44.0,Sandy,28-28
pulses,8,31,7,35.0,67.0,28.0,Clayey,14-35-14
tobacco,13,16,17,29.0,58.0,30.0,Red,10-26-26
millets,35,0,0,27.0,53.0,30.0,Black,Urea
wheat,12,19,18,36.0,68.0,50.0,Loamy,10-26-26
cotton,11,38,0,29.0,58.0,61.0,Loamy,DAP
oil_seeds,8,30,9,30.0,60.0,26.0,Black,14-35-14
paddy,6,21,19,34.0,65.0,45.0,Clayey,10-26-26
ground_nuts,41,0,0,36.0,68.0,41.0,Red,Urea
maize,9,30,10,28.0,54.0,25.0,Sandy,14-35-14
pulses,24,19,0,25.0,50.0,32.0,Clayey,28-28
tobacco,4,17,17,30.0,60.0,27.0,Red,10-26-26
wheat,39,0,0,38.0,72.0,51.0,Loamy,Urea
millets,15,41,0,36.0,60.0,43.0,Sandy,DAP
sugarcane,12,10,0,29.0,58.0,57.0,Black,20-20
cotton,20,15,2,27.58,59.21,31.27,Loamy,DAP
millets,9,14,12,27.45,66.38,50.14,Black,28-28
wheat,28,22,0,27.25,63.62,40.35,Black,Urea
millets,8,28,9,28.84,58.91,33.06,Clayey,17-17-17
ground_nuts,40,0,2,25.86,48.46,46.25,Red,28-28
cotton,11,11,0,25.59,63.6,46.33,Clayey,28-28
oil_seeds,6,14,4,29.17,68.19,30.65,Sandy,Urea
millets,9,11,14,36.05,73.59,58.17,Red,17-17-17
ground_nuts,5,30,8,26.76,64.22,53.63,Sandy,28-28
cotton,41,3,0,27.66,53.58,40.96,Red,20-20
wheat,40,0,0,28.27,52.88,43.3,Black,10-26-26
oil_seeds,8,16,1,38.39,69.51,65.09,Clayey,Urea
cotton,15,35,0,28.74,56.8,54.07,Loamy,DAP
paddy,19,28,4,30.63,63.88,38.71,Loamy,DAP
barley,11,12,5,26.02,52.46,31.12,Loamy,10-26-26
oil_seeds,9,21,22,34.71,64.94,52.62,Sandy,14-35-14
oil_seeds,11,8,0,23.71,51.25,30.5,Black,17-17-17
maize,37,4,2,30.63,61.45,23.18,Black,17-17-17
sugarcane,12,13,13,23.63,52.62,31.03,Clayey,14-35-14
oil_seeds,16,32,3,27.65,58.09,69.07,Clayey,10-26-26
paddy,12,36,0,31.19,60.94,30.51,Black,Urea
tobacco,45,0,2,37.12,72.87,47.06,Sandy,Urea
pulses,7,16,15,33.52,60.46,47.85,Black,DAP
sugarcane,10,31,3,29.44,59.34,55.51,Loamy,17-17-17
cotton,8,28,13,33.24,69.48,65.48,Clayey,10-26-26
tobacco,2,19,20,20.85,53.18,43.77,Loamy,Urea
sugarcane,11,36,1,38.42,73.97,50.41,Loamy,DAP
maize,34,3,0,29.04,71.09,21.12,Sandy,14-35-14
sugarcane,39,0,0,23.59,55.82,62.92,Red,Urea
pulses,11,32,0,38.56,73.46,30.62,Black,28-28
cotton,15,8,0,30.87,63.94,46.2,Sandy,Urea
maize,38,0,4,25.83,51.1,59.57,Sandy,Urea
sugarcane,14,35,0,34.51,63.92,70.0,Loamy,17-17-17
pulses,18,25,0,31.92,62.59,27.78,Sandy,DAP
sugarcane,13,11,16,28.43,58.72,43.9,Sandy,20-20
pulses,4,14,0,27.53,55.04,57.07,Sandy,28-28
paddy,8,18,9,24.53,67.4,48.49,Red,20-20
wheat,15,33,4,30.82,51.91,54.23,Red,14-35-14
cotton,9,16,15,32.53,59.45,20.16,Loamy,17-17-17
cotton,12,33,8,28.17,58.69,34.11,Sandy,20-20
paddy,35,0,0,29.25,54.52,41.4,Clayey,28-28
tobacco,6,17,16,22.26,51.36,48.36,Loamy,Urea
ground_nuts,41,4,3,30.76,66.64,56.32,Red,28-28
sugarcane,7,20,11,27.84,66.53,36.89,Loamy,Urea
wheat,7,31,11,29.21,64.21,54.95,Red,14-35-14
pulses,11,15,13,26.01,59.52,35.75,Loamy,28-28
cotton,23,23,0,29.5,55.42,51.17,Red,10-26-26
wheat,40,0,0,32.98,62.02,33.12,Red,10-26-26
barley,38,1,0,24.24,59.04,50.07,Loamy,Urea
wheat,21,20,3,33.54,59.28,52.09,Clayey,20-20
ground_nuts,35,0,4,34.43,72.28,62.22,Clayey,17-17-17
barley,15,33,0,32.19,68.94,67.37,Sandy,20-20
oil_seeds,5,32,7,32.55,71.46,67.14,Clayey,20-20
wheat,13,38,0,28.38,52.02,43.83,Loamy,10-26-26
maize,36,0,0,25.4,43.57,38.51,Red,28-28
millets,12,15,15,33.8,52.28,53.31,Clayey,28-28
paddy,20,20,0,28.38,47.58,34.86,Black,28-28
oil_seeds,23,16,2,28.37,59.8,35.35,Black,17-17-17
sugarcane,1,22,14,30.08,73.84,41.22,Sandy,10-26-26
wheat,31,0,1,34.95,64.93,62.63,Clayey,14-35-14
cotton,20,21,0,35.56,74.88,52.16,Clayey,14-35-14
oil_seeds,7,7,1,24.05,52.76,58.9,Sandy,DAP
barley,11,14,3,23.42,53.65,69.68,Sandy,20-20
sugarcane,17,31,0,31.68,62.14,42.55,Black,17-17-17
maize,19,19,0,31.03,69.0,49.46,Loamy,20-20
maize,5,32,8,31.78,44.27,45.07,Loamy,DAP
ground_nuts,39,2,0,22.3,60.64,40.78,Sandy,28-28
cotton,8,43,1,26.39,52.62,22.27,Sandy,17-17-17
tobacco,13,39,4,29.36,64.39,20.0,Red,10-26-26
sugarcane,13,8,0,26.67,47.94,34.08,Black,DAP
barley,12,30,6,26.75,56.87,20.0,Clayey,17-17-17
sugarcane,24,17,0,30.64,65.77,32.86,Clayey,17-17-17
pulses,26,21,0,29.89,48.59,38.0,Clayey,28-28
ground_nuts,8,18,13,28.61,62.22,41.53,Loamy,Urea
sugarcane,39,0,2,37.09,63.72,47.99,Red,17-17-17
maize,37,0,3,21.78,55.6,33.66,Loamy,10-26-26
wheat,2,25,5,30.42,70.37,55.92,Red,17-17-17
pulses,10,12,17,35.39,52.28,42.97,Sandy,10-26-26
oil_seeds,3,15,15,30.53,52.17,41.92,Black,Urea
ground_nuts,10,34,0,28.09,56.62,36.14,Loamy,20-20
paddy,16,22,3,22.95,55.86,31.58,Black,28-28
tobacco,18,38,1,32.06,75.56,55.73,Sandy,17-17-17
maize,11,16,11,38.4,67.88,62.06,Clayey,28-28
pulses,12,27,13,33.59,66.16,69.67,Sandy,20-20
ground_nuts,10,11,4,26.47,62.91,46.87,Sandy,28-28
oil_seeds,13,14,21,31.56,58.25,29.12,Loamy,14-35-14
ground_nuts,8,32,13,29.13,56.72,67.72,Clayey,17-17-17
oil_seeds,36,0,4,23.35,59.98,63.83,Black,14-35-14
maize,19,20,0,26.75,58.1,39.27,Clayey,14-35-14
millets,41,1,0,30.42,48.76,42.28,Red,17-17-17
ground_nuts,14,8,13,24.9,51.02,31.9,Loamy,17-17-17
wheat,34,0,1,27.31,57.3,22.41,Loamy,Urea
ground_nuts,8,9,1,31.5,74.7,23.25,Clayey,DAP
millets,19,26,0,27.63,69.25,41.18,Loamy,DAP
maize,38,4,0,22.59,45.7,33.13,Black,14-35-14
tobacco,11,40,2,35.97,60.1,26.8,Black,20-20
sugarcane,26,22,2,27.69,55.55,27.9,Red,20-20
millets,6,14,1,24.27,52.43,62.34,Loamy,DAP
ground_nuts,9,11,3,30.42,50.01,26.27,Black,28-28
barley,13,35,0,31.52,44.64,42.86,Red,28-28
wheat,12,13,4,30.64,57.57,46.45,Red,20-20
paddy,15,16,0,22.17,47.78,43.03,Clayey,28-28
maize,5,32,10,36.5,65.85,42.33,Loamy,10-26-26
maize,8,6,4,35.13,65.69,37.76,Black,28-28
ground_nuts,6,10,14,24.82,53.75,47.97,Black,DAP
oil_seeds,6,9,0,31.24,55.88,37.05,Sandy,Urea
cotton,5,14,3,29.77,46.18,63.79,Loamy,10-26-26
oil_seeds,35,0,0,25.86,46.65,32.67,Clayey,17-17-17
cotton,44,0,0,30.15,60.77,42.93,Clayey,Urea
ground_nuts,10,12,0,29.46,59.4,49.1,Clayey,28-28
cotton,38,0,0,29.37,64.45,64.66,Black,10-26-26
oil_seeds,19,18,0,23.63,58.75,35.6,Red,28-28
millets,10,31,5,32.45,60.24,55.92,Sandy,28-28
paddy,15,39,4,37.34,63.39,25.36,Red,14-35-14
cotton,3,34,8,30.41,67.24,65.58,Loamy,17-17-17
barley,12,37,0,31.9,55.45,59.87,Sandy,14-35-14
cotton,16,16,13,35.85,52.79,54.13,Clayey,17-17-17
pulses,20,23,0,28.87,49.91,35.02,Red,10-26-26
oil_seeds,9,18,19,26.33,50.2,45.34,Clayey,10-26-26
sugarcane,35,0,0,29.67,58.75,40.69,Sandy,Urea
ground_nuts,23,15,0,32.2,50.72,39.63,Clayey,28-28
millets,6,41,0,29.24,62.15,51.65,Black,10-26-26
paddy,37,1,0,34.15,71.16,41.7,Red,Urea
barley,9,35,0,31.56,55.15,56.8,Red,DAP
oil_seeds,9,36,0,24.76,56.88,20.0,Clayey,10-26-26
barley,11,14,0,34.15,63.96,47.64,Red,14-35-14
wheat,9,18,4,30.7,57.71,38.36,Sandy,28-28
ground_nuts,23,22,2,34.89,53.79,37.58,Red,Urea
cotton,13,42,1,26.7,63.42,24.65,Sandy,17-17-17
ground_nuts,37,0,0,23.75,61.43,52.94,Black,DAP
cotton,21,18,0,25.73,52.9,46.14,Red,20-20
wheat,13,10,0,25.36,50.91,24.39,Loamy,20-20
sugarcane,39,0,0,36.35,61.89,65.38,Black,DAP
millets,24,21,0,21.91,46.66,45.27,Black,14-35-14
pulses,10,9,0,26.44,65.84,50.2,Clayey,28-28
wheat,8,12,0,28.93,50.28,20.33,Red,Urea
maize,7,34,6,30.06,53.68,70.0,Sandy,20-20
pulses,16,13,13,35.29,64.13,46.59,Clayey,14-35-14
pulses,41,0,2,24.61,63.9,70.0,Loamy,DAP
millets,19,22,0,29.38,60.44,45.57,Clayey,14-35-14
barley,20,19,0,30.2,51.16,32.5,Red,DAP
sugarcane,11,9,0,32.46,68.2,64.77,Sandy,14-35-14
oil_seeds,34,4,0,24.26,53.19,67.73,Clayey,DAP
ground_nuts,11,35,0,37.9,75.51,25.35,Clayey,DAP
cotton,34,2,0,31.1,55.48,46.43,Sandy,Urea
wheat,17,15,0,31.75,62.4,34.97,Black,Urea
pulses,15,11,11,27.29,57.56,53.09,Black,20-20
paddy,15,40,0,26.71,55.89,69.87,Loamy,14-35-14
oil_seeds,21,18,0,29.25,56.07,33.6,Black,DAP
barley,17,20,0,29.73,58.67,29.64,Red,17-17-17
oil_seeds,10,18,12,31.62,57.88,42.77,Clayey,14-35-14
maize,8,12,13,25.93,54.07,23.84,Loamy,14-35-14
maize,11,12,1,26.47,55.37,59.34,Sandy,20-20
barley,18,42,0,21.92,53.0,33.57,Black,17-17-17
oil_seeds,4,10,0,24.35,58.11,34.04,Clayey,28-28
sugarcane,9,10,4,29.55,45.99,50.06,Red,10-26-26
pulses,33,2,0,28.29,60.24,33.44,Black,DAP
pulses,11,41,2,31.31,73.26,70.0,Loamy,14-35-14
cotton,43,0,0,30.05,58.21,23.31,Loamy,17-17-17
paddy,21,24,4,31.27,62.18,32.06,Sandy,14-35-14
ground_nuts,10,32,1,32.51,61.45,70.0,Loamy,Urea
oil_seeds,14,13,11,23.98,44.94,20.0,Sandy,28-28
tobacco,39,2,1,30.28,69.29,53.16,Sandy,10-26-26
sugarcane,10,18,9,28.02,54.85,55.71,Sandy,20-20
sugarcane,37,1,0,28.66,56.26,39.29,Black,DAP
millets,22,26,0,30.85,70.39,29.35,Black,10-26-26
pulses,13,5,4,24.51,62.55,65.83,Loamy,Urea
ground_nuts,18,23,4,22.33,56.84,29.98,Black,14-35-14
tobacco,42,4,1,29.75,55.39,28.42,Sandy,14-35-14
ground_nuts,41,2,0,28.27,52.86,22.36,Clayey,10-26-26
paddy,17,12,0,33.27,67.2,40.49,Loamy,10-26-26
millets,10,32,0,38.53,70.2,28.94,Loamy,17-17-17
oil_seeds,8,31,14,25.2,60.02,69.92,Sandy,20-20
wheat,38,2,0,23.66,55.66,31.32,Red,20-20
wheat,9,16,0,35.01,71.58,39.2,Black,14-35-14
maize,12,31,2,36.92,69.78,32.64,Clayey,14-35-14
tobacco,18,19,0,23.74,47.23,43.64,Red,10-26-26
tobacco,6,11,0,30.51,48.99,28.68,Black,14-35-14
tobacco,0,19,16,27.02,68.83,33.05,Black,Urea
barley,6,13,2,27.77,42.89,59.1,Red,Urea
cotton,3,30,12,39.65,63.55,47.33,Red,Urea
barley,15,45,4,37.27,64.08,36.28,Red,20-20
pulses,7,6,0,27.93,64.17,62.13,Black,20-20
sugarcane,37,0,0,29.95,61.75,36.58,Black,28-28
paddy,26,21,0,24.97,59.24,47.46,Sandy,20-20
paddy,18,36,0,27.68,61.68,59.47,Clayey,17-17-17
cotton,2,12,20,23.82,47.74,30.62,Black,17-17-17
pulses,38,0,0,34.57,69.61,57.23,Clayey,DAP
pulses,16,44,0,35.1,70.14,56.12,Loamy,20-20
barley,16,38,0,33.71,59.42,29.32,Black,14-35-14
cotton,23,23,0,24.75,45.31,49.7,Clayey,10-26-26
millets,3,31,12,37.36,59.64,53.7,Loamy,10-26-26
maize,35,2,0,32.22,56.29,48.76,Black,10-26-26
paddy,31,0,3,32.35,48.81,46.33,Loamy,20-20
cotton,42,0,0,40.0,80.0,59.99,Clayey,10-26-26
cotton,33,0,3,25.85,62.32,48.82,Red,DAP
barley,8,18,22,30.61,66.36,42.09,Red,DAP
maize,5,26,6,34.51,54.79,54.12,Loamy,28-28
paddy,35,2,3,29.66,43.74,43.31,Red,20-20
maize,16,15,0,31.75,46.82,37.35,Red,DAP
oil_seeds,20,17,0,25.43,68.65,39.28,Red,10-26-26
wheat,10,13,21,30.97,58.53,29.79,Loamy,17-17-17
oil_seeds,10,9,12,28.58,71.66,46.04,Red,10-26-26
wheat,15,10,16,29.87,63.64,61.4,Black,20-20
maize,19,21,0,25.09,54.56,34.08,Red,28-28
cotton,35,0,2,29.76,45.13,30.91,Red,DAP
tobacco,35,0,3,31.38,69.36,35.4,Black,Urea
ground_nuts,37,0,0,36.7,70.28,23.31,Sandy,10-26-26
barley,18,45,0,26.91,44.27,23.76,Loamy,10-26-26
oil_seeds,7,5,0,30.83,53.08,47.02,Black,DAP
barley,37,0,4,31.98,55.89,57.6,Red,17-17-17
paddy,23,25,1,30.46,48.84,33.31,Red,14-35-14
paddy,14,32,9,29.24,54.29,47.85,Clayey,Urea
maize,12,34,0,31.38,67.84,59.74,Loamy,10-26-26
maize,41,1,0,29.08,54.19,61.72,Clayey,14-35-14
cotton,12,23,10,40.0,60.8,50.41,Black,10-26-26
ground_nuts,19,15,15,23.18,53.55,20.0,Black,17-17-17
barley,40,0,4,32.61,54.79,70.0,Black,Urea
paddy,9,37,0,36.12,72.17,33.4,Sandy,Urea
barley,40,0,3,23.88,57.05,35.25,Loamy,20-20
pulses,14,12,0,30.78,64.7,35.01,Clayey,10-26-26
paddy,10,27,8,36.46,65.08,43.87,Red,10-26-26
sugarcane,7,45,4,40.0,77.61,29.53,Loamy,10-26-26
wheat,42,0,0,32.0,57.73,35.48,Black,10-26-26
sugarcane,4,26,10,32.69,69.21,22.19,Black,20-20
sugarcane,14,11,0,29.63,45.37,21.76,Black,28-28
pulses,25,19,0,34.22,56.39,49.89,Red,14-35-14
wheat,7,34,11,36.56,76.26,36.26,Sandy,10-26-26
pulses,35,0,1,37.0,62.94,55.83,Loamy,20-20
millets,36,3,3,37.66,74.6,28.6,Black,DAP
ground_nuts,14,37,2,36.42,75.12,46.56,Sandy,DAP
ground_nuts,8,32,9,29.92,50.41,62.32,Clayey,10-26-26
maize,8,38,0,31.96,49.13,52.38,Loamy,10-26-26
cotton,10,43,0,38.65,62.79,58.95,Black,20-20
tobacco,35,1,0,24.94,50.42,55.75,Red,14-35-14
pulses,25,22,4,26.11,52.09,44.94,Black,Urea
barley,3,31,4,39.68,75.02,51.69,Clayey,14-35-14
millets,12,39,0,32.74,64.14,68.56,Red,10-26-26
tobacco,14,36,1,25.3,50.31,45.77,Loamy,14-35-14
oil_seeds,4,26,9,29.37,61.61,33.0,Loamy,10-26-26
sugarcane,11,36,0,35.12,61.28,35.3,Red,Urea
tobacco,36,0,0,31.57,46.3,28.05,Red,14-35-14
wheat,9,38,4,38.0,61.23,26.32,Black,17-17-17
barley,38,0,0,36.29,71.0,56.12,Black,DAP
pulses,13,38,0,32.76,61.99,68.62,Black,DAP
wheat,41,1,3,33.01,61.9,32.87,Sandy,28-28
paddy,28,27,0,27.09,64.13,38.0,Black,28-28
wheat,11,9,0,30.15,68.23,37.36,Sandy,28-28
oil_seeds,12,31,0,31.12,54.41,55.18,Clayey,DAP
wheat,38,0,3,31.08,61.81,34.73,Red,DAP
maize,1,13,17,34.99,65.23,27.62,Clayey,10-26-26
millets,3,16,12,28.29,46.16,41.47,Black,20-20
barley,10,42,2,37.61,61.11,36.72,Loamy,Urea
barley,21,22,0,36.02,69.03,54.45,Sandy,20-20
tobacco,21,22,0,28.58,41.09,30.84,Red,17-17-17
tobacco,16,39,0,24.6,52.29,30.92,Black,DAP
cotton,13,6,4,29.87,56.39,37.84,Sandy,10-26-26
millets,27,20,0,29.85,47.2,57.02,Sandy,10-26-26
millets,5,36,10,26.12,63.44,63.43,Loamy,DAP
wheat,5,5,3,34.94,57.44,52.37,Sandy,DAP
paddy,16,36,4,31.59,63.18,56.9,Black,10-26-26
maize,11,42,0,37.33,67.17,37.59,Loamy,10-26-26
tobacco,37,2,1,24.02,45.09,67.89,Loamy,14-35-14
wheat,43,2,2,33.56,66.29,26.04,Clayey,14-35-14
barley,25,22,0,30.78,50.3,52.95,Clayey,20-20
ground_nuts,10,26,7,32.39,66.19,63.37,Clayey,10-26-26
barley,23,22,2,31.26,67.75,26.57,Black,Urea
ground_nuts,9,32,8,38.04,69.01,42.8,Red,10-26-26
paddy,12,44,1,32.73,62.66,34.5,Red,17-17-17
paddy,37,4,0,27.79,60.14,41.16,Clayey,10-26-26
pulses,44,0,0,32.24,55.75,45.85,Black,20-20
pulses,12,42,0,31.18,60.59,20.77,Black,28-28
ground_nuts,12,32,7,34.04,65.18,55.33,Black,28-28
pulses,11,31,14,28.92,49.12,20.0,Black,17-17-17
wheat,8,21,20,36.08,74.86,38.71,Red,10-26-26
millets,14,36,3,32.57,62.47,37.05,Sandy,Urea
ground_nuts,38,4,0,32.53,51.27,44.71,Sandy,14-35-14
paddy,26,25,0,25.19,60.71,52.06,Red,14-35-14
wheat,36,4,0,28.66,47.45,44.04,Loamy,20-20
paddy,9,12,14,24.59,58.22,64.12,Sandy,10-26-26
tobacco,8,37,0,25.71,59.93,51.81,Clayey,17-17-17
wheat,10,12,0,28.24,54.62,35.02,Clayey,DAP
maize,18,17,3,33.95,61.0,45.29,Clayey,17-17-17
sugarcane,11,27,4,33.88,59.02,35.32,Clayey,DAP
oil_seeds,2,32,9,30.87,58.93,70.0,Clayey,28-28
maize,36,4,0,33.25,69.66,51.62,Sandy,Urea
pulses,4,15,0,30.25,72.59,57.4,Black,28-28
oil_seeds,7,42,3,31.59,67.65,56.8,Sandy,Urea
ground_nuts,41,4,0,37.68,62.61,54.72,Black,Urea
oil_seeds,19,33,0,30.23,70.15,26.2,Red,17-17-17
ground_nuts,24,16,0,30.29,58.63,51.24,Loamy,17-17-17
paddy,8,40,0,27.47,53.06,40.0,Red,28-28
cotton,19,15,0,29.05,52.0,53.16,Black,28-28
tobacco,2,19,16,22.27,58.06,38.54,Black,28-28
cotton,36,2,0,26.4,57.87,57.72,Sandy,14-35-14
sugarcane,13,26,10,24.38,52.09,25.67,Loamy,28-28
pulses,5,29,14,33.24,51.28,65.32,Black,Urea
barley,9,10,0,27.41,52.54,41.48,Black,Urea
maize,12,34,0,32.64,77.53,39.18,Clayey,20-20
barley,18,29,0,27.61,71.93,41.84,Red,17-17-17
barley,10,17,0,36.71,76.2,24.17,Sandy,14-35-14
oil_seeds,14,38,2,31.72,71.9,41.1,Clayey,20-20
cotton,1,17,14,38.33,70.83,45.85,Loamy,Urea
pulses,10,40,0,31.36,44.29,43.74,Sandy,17-17-17
maize,23,26,0,31.97,57.04,39.26,Loamy,10-26-26
sugarcane,15,41,0,30.86,66.38,42.56,Clayey,14-35-14
millets,12,37,0,29.81,63.42,20.0,Loamy,10-26-26
barley,34,1,2,30.18,68.42,36.95,Clayey,17-17-17
cotton,41,4,0,25.23,62.86,38.43,Red,20-20
maize,4,28,9,37.04,68.38,51.4,Red,28-28
paddy,24,17,0,26.14,52.36,40.32,Clayey,14-35-14
sugarcane,5,31,10,25.71,49.13,33.26,Sandy,14-35-14
paddy,39,4,1,30.12,69.25,21.43,Loamy,28-28
cotton,21,23,2,27.34,63.01,48.83,Black,10-26-26
pulses,40,0,0,30.29,69.44,58.64,Clayey,14-35-14
millets,34,0,4,33.67,68.27,57.75,Clayey,DAP
sugarcane,7,16,14,34.7,66.76,69.2,Loamy,20-20
oil_seeds,9,8,11,34.38,60.73,50.97,Red,DAP
wheat,9,13,3,33.48,62.18,48.6,Black,20-20
tobacco,13,30,10,33.6,60.98,68.08,Clayey,14-35-14
sugarcane,6,40,4,31.74,62.32,52.3,Loamy,Urea
oil_seeds,18,27,4,27.11,49.05,43.91,Black,20-20
wheat,44,0,0,29.56,70.11,44.74,Sandy,20-20
barley,18,33,0,33.71,58.93,43.88,Loamy,DAP
maize,15,7,1,21.93,44.5,63.49,Red,14-35-14
maize,12,40,1,33.53,60.05,37.18,Red,20-20
ground_nuts,17,40,0,25.31,51.61,33.05,Red,DAP
ground_nuts,18,42,0,31.78,65.4,52.23,Sandy,10-26-26
pulses,39,0,1,34.68,58.89,27.43,Sandy,28-28
millets,11,42,0,39.75,60.73,38.94,Clayey,17-17-17
oil_seeds,8,19,0,22.69,51.37,61.27,Sandy,Urea
wheat,2,12,19,24.06,40.2,34.24,Black,10-26-26
sugarcane,36,3,0,38.25,74.83,48.66,Clayey,17-17-17
millets,36,0,0,40.0,64.51,51.07,Red,28-28
millets,12,30,3,35.73,71.25,45.65,Clayey,20-20
maize,40,2,0,31.33,52.44,48.45,Black,DAP
maize,9,16,17,32.64,71.49,45.45,Black,14-35-14
millets,19,18,0,24.83,51.23,46.97,Red,28-28
oil_seeds,18,39,0,30.57,73.76,66.01,Loamy,17-17-17
tobacco,36,3,0,27.61,52.18,38.91,Black,20-20
barley,9,32,9,25.3,51.45,24.59,Sandy,17-17-17
pulses,14,34,0,31.71,58.44,35.47,Loamy,Urea
