label,n,p,k,ph,temperature,rainfall,humidity,soil_moisture,soil_type,organic_carbon,sunlight_hours,wind_speed,region,altitude,season,irrigation_type,fertilizer,pesticide,yield
cotton,83,52,101,5.78,10.97,2035.8,35.94,25.93,Sandy,1.52,7.4,8.19,South,1438,Zaid,Rainfed,79.76,23.87,6.7
cotton,116,49,31,8.14,25.31,793.49,57.84,19.72,Loamy,0.42,10.67,17.58,East,90,Zaid,Canal,307.25,1.98,8.65
cotton,97,38,125,7.66,29.98,836.73,48.46,63.16,Clay,0.7,6.59,3.8,Central,1783,Rabi,Rainfed,114.5,21.94,6.26
cotton,173,15,30,8.07,10.48,1445.69,43.22,43.27,Loamy,0.48,5.48,11.21,North,930,Zaid,Rainfed,221.52,23.09,6.81
cotton,68,24,31,6.0,17.54,1108.92,85.71,25.84,Sandy,0.97,4.55,2.7,Central,1348,Rabi,Sprinkler,71.52,2.96,4.53
cotton,158,29,144,6.17,35.57,1223.54,61.82,15.03,Silt,1.35,9.9,4.66,West,1802,Rabi,Rainfed,210.14,4.89,7.52
cotton,169,96,110,7.22,15.95,2579.73,36.84,18.8,Sandy,0.67,6.43,15.18,Central,2163,Zaid,Sprinkler,185.69,21.7,6.38
cotton,149,80,135,5.67,14.85,945.86,78.02,47.04,Clay,0.69,4.93,10.91,West,239,Kharif,Sprinkler,223.53,6.51,6.22
cotton,142,69,109,6.12,22.07,1217.52,76.33,51.86,Silt,1.13,4.78,15.18,North,350,Rabi,Rainfed,60.57,1.2,6.42
cotton,133,94,59,6.94,19.59,1024.13,51.32,57.3,Clay,0.75,7.69,12.4,North,1497,Kharif,Drip,175.44,7.92,5.83
cotton,97,91,106,4.84,35.86,965.99,74.21,39.67,Sandy,0.42,4.69,16.85,East,945,Rabi,Drip,117.87,24.84,7.26
cotton,62,57,71,6.72,16.4,2524.7,56.67,62.07,Silt,1.55,4.73,16.32,West,1030,Zaid,Rainfed,301.11,12.01,10.41
cotton,77,29,24,6.79,18.96,738.36,30.08,20.13,Loamy,0.58,9.23,5.23,Central,259,Zaid,Drip,99.9,20.04,4.36
cotton,164,42,43,7.11,12.93,1678.94,67.76,48.68,Loamy,1.37,10.58,13.93,Central,968,Rabi,Drip,279.25,21.53,9.57
cotton,174,97,105,4.86,37.58,1319.42,51.65,59.98,Loamy,0.9,5.85,5.15,East,571,Zaid,Drip,343.56,20.8,8.88
cotton,126,85,134,7.22,23.49,1995.65,32.14,28.21,Clay,0.76,6.85,5.64,East,2148,Rabi,Canal,341.58,0.11,10.81
cotton,140,98,37,5.17,37.73,764.22,41.17,34.57,Loamy,0.33,6.12,15.7,North,1975,Kharif,Drip,148.77,5.82,6.06
cotton,157,45,131,6.27,19.85,1726.77,38.06,31.78,Sandy,0.92,7.5,8.42,East,2145,Zaid,Rainfed,165.24,11.38,7.26
cotton,159,86,32,5.96,17.72,826.4,66.98,40.85,Clay,0.58,9.63,14.46,East,57,Zaid,Sprinkler,174.0,4.4,5.12
cotton,72,34,139,7.75,33.12,2509.92,77.9,57.92,Clay,0.77,4.21,15.18,West,1050,Rabi,Drip,349.3,5.33,10.92
cotton,37,37,94,8.13,35.71,646.12,34.0,34.48,Clay,1.44,8.43,16.01,North,39,Kharif,Sprinkler,207.52,18.29,4.22
cotton,127,78,51,5.27,13.8,676.66,46.96,38.77,Loamy,1.08,4.4,13.7,West,108,Zaid,Drip,174.01,18.35,6.05
cotton,95,66,125,8.07,22.43,1871.6,42.67,30.81,Clay,0.47,8.57,10.74,North,2195,Rabi,Canal,336.15,2.72,8.58
cotton,115,81,62,7.82,38.7,984.44,47.49,41.64,Silt,1.32,8.32,11.23,North,793,Zaid,Canal,339.95,0.62,7.71
cotton,80,83,131,5.39,37.89,733.23,34.22,57.31,Sandy,0.48,7.22,11.69,South,2029,Kharif,Drip,162.79,12.57,6.91
cotton,154,61,28,7.53,17.7,1211.95,33.17,36.57,Sandy,1.53,5.2,8.94,West,1413,Rabi,Rainfed,65.58,3.22,3.3
cotton,87,58,39,6.32,14.0,870.93,56.88,16.92,Silt,1.3,7.45,8.18,West,31,Rabi,Drip,135.93,14.73,4.43
cotton,149,99,42,5.95,36.42,1643.59,53.14,36.17,Loamy,0.79,4.54,1.3,West,1119,Zaid,Rainfed,281.55,1.5,9.4
cotton,92,73,89,5.14,19.46,1652.82,84.0,46.07,Clay,1.45,4.61,4.66,North,1729,Kharif,Sprinkler,125.62,19.99,6.79
cotton,146,67,127,6.69,15.12,1569.36,38.11,19.5,Silt,1.45,6.44,17.87,West,100,Zaid,Rainfed,152.29,7.6,6.54
cotton,151,66,81,6.79,12.98,853.82,30.01,35.11,Loamy,0.38,5.52,16.16,West,961,Kharif,Sprinkler,175.52,3.29,6.36
cotton,63,67,90,6.89,11.24,567.21,79.07,25.77,Silt,1.14,8.37,5.39,South,63,Kharif,Sprinkler,290.39,18.53,5.96
cotton,155,33,71,7.11,23.08,921.97,44.74,46.97,Loamy,1.57,8.16,13.09,West,356,Zaid,Rainfed,298.32,24.14,8.37
cotton,58,80,132,7.27,33.71,2753.15,51.0,35.59,Loamy,1.31,4.97,1.36,West,838,Rabi,Drip,102.48,19.14,7.65
cotton,76,96,31,5.35,18.66,2490.72,33.42,38.06,Sandy,0.85,10.77,1.55,North,1805,Rabi,Rainfed,258.68,11.29,11.1
cotton,173,72,65,7.57,25.29,509.66,36.3,53.17,Silt,1.55,10.14,1.69,West,488,Kharif,Sprinkler,295.75,8.93,7.92
cotton,114,97,149,7.88,17.38,2710.42,74.12,32.49,Silt,0.78,4.19,1.52,North,1296,Kharif,Rainfed,332.99,3.98,9.89
cotton,63,54,80,6.83,20.47,2387.34,80.17,64.05,Loamy,1.06,4.91,6.75,North,892,Zaid,Sprinkler,133.91,17.7,7.98
cotton,33,85,88,5.37,27.97,1638.09,48.39,19.46,Clay,1.5,10.01,2.33,Central,255,Kharif,Rainfed,258.32,3.24,7.07
cotton,45,41,78,6.2,32.01,465.16,43.88,59.43,Silt,1.49,6.8,8.71,East,138,Zaid,Sprinkler,247.81,22.51,8.44
cotton,157,47,87,6.81,39.63,473.58,61.14,36.37,Loamy,0.8,6.02,1.85,East,2146,Rabi,Sprinkler,193.21,1.63,7.87
cotton,41,46,25,5.72,31.17,1231.93,34.48,24.26,Silt,1.46,5.52,9.96,South,1546,Zaid,Canal,333.54,21.1,7.31
cotton,94,53,40,6.81,23.33,1234.51,74.93,19.32,Sandy,1.06,6.33,12.53,East,519,Kharif,Drip,94.12,2.28,5.2
cotton,159,59,123,7.43,10.99,2400.33,54.32,24.88,Sandy,1.45,10.33,2.86,North,43,Kharif,Canal,243.04,12.79,10.2
cotton,122,90,57,5.07,14.71,1595.45,33.2,28.04,Sandy,1.19,7.9,3.87,North,2109,Kharif,Sprinkler,63.65,7.62,4.61
cotton,144,41,51,4.94,38.96,983.68,68.3,23.67,Sandy,0.31,6.22,3.2,Central,2014,Zaid,Drip,260.04,19.82,5.29
cotton,143,78,116,7.5,30.08,2723.98,55.33,53.39,Clay,1.36,6.46,1.94,East,946,Zaid,Canal,306.74,0.06,11.68
cotton,105,33,103,6.36,19.38,726.88,32.25,27.72,Silt,0.83,10.38,12.99,North,440,Rabi,Rainfed,282.56,9.05,7.13
cotton,146,28,149,5.31,16.03,782.3,39.79,54.55,Sandy,0.76,7.68,13.76,West,1083,Zaid,Canal,215.97,14.18,6.7
cotton,128,77,34,6.72,34.75,1303.32,43.95,55.73,Loamy,0.47,7.64,7.27,East,1943,Rabi,Sprinkler,116.33,7.96,7.94
cotton,54,17,88,5.16,33.56,2032.76,88.31,54.02,Loamy,0.4,4.96,14.22,North,1715,Zaid,Rainfed,296.73,13.21,8.15
cotton,82,43,36,7.19,18.33,868.12,49.13,21.92,Silt,0.85,5.02,17.37,Central,1830,Rabi,Drip,308.08,10.96,9.11
cotton,138,90,135,5.06,15.14,922.75,79.13,26.87,Sandy,1.17,6.42,15.18,North,40,Rabi,Rainfed,250.21,5.25,6.66
cotton,71,61,49,7.31,17.17,2771.23,52.75,43.58,Clay,1.07,7.16,5.75,Central,1989,Zaid,Canal,114.84,15.18,6.5
cotton,174,47,120,7.05,37.55,1909.0,55.37,44.71,Loamy,1.41,9.18,15.07,East,165,Zaid,Rainfed,128.38,12.02,8.2
cotton,36,76,95,5.2,19.17,1215.71,82.63,32.66,Loamy,1.23,9.49,15.51,North,843,Zaid,Sprinkler,303.24,6.12,7.53
cotton,94,82,107,4.93,11.7,449.18,61.96,64.74,Silt,1.18,4.75,15.77,South,1948,Rabi,Drip,296.12,0.41,8.04
cotton,115,48,87,6.99,12.18,2597.93,49.7,25.44,Silt,1.17,6.03,3.23,North,726,Rabi,Drip,89.2,20.27,6.44
cotton,161,77,70,7.97,36.22,1234.19,62.0,47.41,Loamy,1.44,4.04,2.64,South,1213,Zaid,Canal,282.94,16.11,8.72
cotton,163,69,104,6.55,20.69,2564.97,63.82,57.18,Loamy,0.43,9.68,12.0,North,2069,Rabi,Drip,89.28,23.01,7.47
cotton,87,70,76,6.58,36.38,841.63,52.31,43.01,Sandy,0.6,10.69,8.7,East,1456,Rabi,Canal,331.72,23.04,9.92
cotton,176,33,39,7.06,11.25,2491.27,39.15,32.29,Loamy,0.65,9.65,8.82,West,1840,Rabi,Sprinkler,196.75,2.73,8.95
cotton,172,52,84,6.46,22.7,2035.22,41.37,64.75,Loamy,0.66,9.14,6.89,Central,1712,Kharif,Canal,140.34,16.92,10.1
cotton,37,66,128,5.36,17.06,1480.28,52.92,49.53,Loamy,0.75,4.79,7.6,North,221,Kharif,Canal,290.71,20.78,9.01
cotton,151,54,62,5.15,39.6,1298.34,85.77,18.79,Silt,0.86,9.72,13.34,West,2182,Zaid,Rainfed,89.29,10.05,4.02
cotton,119,75,31,5.5,21.63,947.14,49.61,38.71,Silt,0.57,9.75,3.83,South,1218,Rabi,Drip,212.4,2.06,6.55
cotton,174,60,131,7.26,15.35,1729.77,71.18,40.89,Loamy,1.02,8.1,8.13,South,207,Rabi,Rainfed,192.85,23.68,7.87
cotton,34,38,105,5.64,11.91,856.14,73.04,21.75,Sandy,0.32,10.63,8.78,Central,862,Zaid,Sprinkler,247.88,8.3,8.23
cotton,147,51,49,5.97,24.2,2676.57,72.91,61.11,Sandy,0.71,7.48,9.08,Central,2158,Rabi,Canal,264.26,24.64,10.02
cotton,175,56,145,5.45,32.27,1995.67,56.88,31.35,Loamy,1.09,5.64,10.33,West,1559,Rabi,Canal,341.45,20.45,9.37
cotton,114,78,144,7.32,26.28,753.2,34.68,49.39,Silt,1.18,6.13,2.21,South,1096,Rabi,Sprinkler,313.88,8.08,8.71
cotton,115,87,106,5.83,28.52,321.02,83.58,16.48,Silt,0.7,9.41,8.64,North,2073,Kharif,Rainfed,244.86,17.01,6.23
cotton,158,36,70,5.53,33.19,2216.79,80.11,23.27,Sandy,0.97,8.63,9.17,West,762,Zaid,Canal,271.93,0.37,9.79
cotton,162,68,115,7.42,33.04,1065.73,30.52,43.65,Loamy,1.47,5.98,6.76,East,1607,Kharif,Sprinkler,180.33,20.14,7.27
cotton,32,34,20,6.15,13.69,1282.97,77.75,35.11,Clay,1.57,9.16,17.66,East,82,Rabi,Sprinkler,148.93,20.24,5.03
cotton,32,15,126,7.58,14.61,2310.92,62.65,40.12,Sandy,1.44,6.58,13.22,East,339,Kharif,Canal,234.59,14.67,8.54
cotton,174,77,141,5.15,30.59,412.29,59.61,50.17,Silt,0.78,4.98,3.73,East,483,Rabi,Canal,146.63,3.5,5.67
cotton,114,99,82,7.19,35.56,1993.14,37.76,28.06,Silt,1.41,4.63,13.3,West,1198,Kharif,Drip,290.92,8.26,8.74
cotton,171,31,89,6.11,18.56,2062.64,63.98,64.88,Clay,1.28,7.32,8.6,East,282,Kharif,Rainfed,175.81,7.52,8.5
cotton,108,93,63,7.23,32.34,2246.31,85.6,23.85,Loamy,0.9,9.08,6.87,East,1381,Zaid,Sprinkler,81.57,11.45,7.26
cotton,59,34,141,6.91,35.02,2467.49,61.9,17.84,Clay,1.22,8.15,15.74,East,740,Kharif,Rainfed,123.75,22.03,5.92
cotton,113,41,60,5.46,21.06,2145.38,44.8,31.82,Silt,1.48,7.66,13.71,South,1019,Kharif,Sprinkler,264.23,11.61,9.26
cotton,63,73,100,6.82,17.49,2054.5,40.01,62.6,Loamy,1.3,7.97,11.16,North,1880,Rabi,Rainfed,206.29,1.74,9.78
cotton,35,20,57,4.89,31.94,2438.02,50.16,43.03,Loamy,0.59,6.32,3.72,Central,714,Rabi,Rainfed,128.61,18.55,4.97
cotton,173,56,116,8.0,34.67,392.07,74.78,23.41,Clay,0.9,8.55,14.16,West,292,Zaid,Rainfed,290.23,15.1,5.91
cotton,161,82,73,5.82,34.86,2762.99,34.65,53.82,Loamy,1.17,7.59,16.21,Central,1044,Zaid,Rainfed,320.96,12.93,10.63
cotton,122,64,138,6.87,19.04,1568.02,64.86,39.35,Sandy,0.39,9.78,12.82,South,1258,Zaid,Sprinkler,69.81,2.22,6.29
cotton,90,66,111,4.96,24.18,2433.89,30.54,18.22,Loamy,1.56,7.22,7.22,East,230,Kharif,Rainfed,62.38,7.58,7.13
cotton,151,40,100,7.27,19.13,2624.01,80.2,56.51,Silt,1.11,7.09,17.08,North,302,Kharif,Canal,114.26,20.67,7.99
cotton,30,27,96,6.17,33.38,1745.21,69.64,20.32,Loamy,0.78,4.81,4.37,East,1419,Zaid,Drip,340.38,21.63,9.26
cotton,119,79,85,5.59,38.18,1153.3,35.64,23.81,Silt,1.18,9.85,9.08,Central,2128,Rabi,Sprinkler,272.61,22.82,6.2
cotton,63,22,62,5.12,12.8,327.51,55.7,57.58,Silt,0.31,5.42,13.43,West,2026,Zaid,Sprinkler,269.26,20.83,4.44
cotton,102,32,101,6.32,23.0,2782.77,82.34,45.76,Sandy,0.88,5.9,1.2,North,320,Rabi,Rainfed,99.53,24.37,8.27
cotton,150,58,53,8.05,31.6,2728.74,72.45,48.05,Sandy,1.32,7.77,1.59,North,2043,Kharif,Canal,167.34,10.05,9.45
cotton,142,68,51,7.94,13.17,1778.54,73.68,32.41,Sandy,0.44,9.54,4.57,Central,293,Rabi,Drip,340.43,19.46,7.89
cotton,159,60,90,6.58,33.62,1629.0,38.78,48.0,Silt,0.64,6.9,10.66,Central,115,Zaid,Rainfed,177.94,4.1,6.43
cotton,144,61,27,5.18,33.51,2243.89,87.58,59.01,Clay,1.37,7.48,17.87,North,797,Kharif,Rainfed,182.94,18.82,8.22
cotton,167,37,125,4.96,17.07,2274.2,48.38,28.07,Clay,0.38,4.57,6.57,South,554,Rabi,Rainfed,162.31,19.93,6.28
cotton,175,59,34,7.35,35.5,1958.79,52.22,60.13,Loamy,0.81,7.31,3.96,Central,731,Kharif,Canal,263.7,22.01,10.03
cotton,71,35,94,6.42,18.76,2511.74,80.91,31.09,Sandy,1.02,6.61,10.39,East,1718,Zaid,Drip,260.03,21.84,9.73
cotton,60,38,66,7.01,24.79,1115.31,35.69,47.99,Clay,0.34,9.94,10.1,West,436,Zaid,Canal,141.26,23.99,4.78
cotton,104,74,62,6.16,29.45,790.55,51.5,36.6,Loamy,0.58,7.91,15.74,South,397,Rabi,Rainfed,179.78,22.8,5.11
cotton,147,81,42,5.8,31.72,1745.37,47.63,41.31,Sandy,0.98,6.44,16.77,South,706,Zaid,Drip,291.46,12.54,9.29
cotton,142,79,120,5.3,32.52,1966.73,56.67,40.24,Loamy,1.53,7.98,17.69,Central,1304,Zaid,Rainfed,210.35,4.23,9.29
cotton,165,58,105,5.74,39.53,2108.3,63.44,34.0,Sandy,0.93,8.8,15.45,East,1919,Zaid,Rainfed,79.91,14.96,4.7
cotton,76,52,53,8.04,23.97,1058.72,74.16,42.23,Silt,1.49,8.15,12.54,Central,1122,Zaid,Canal,86.45,14.87,3.84
cotton,30,91,58,6.51,25.05,2506.23,32.02,61.86,Sandy,1.16,7.22,17.75,East,2138,Kharif,Rainfed,74.9,9.18,8.37
cotton,67,69,129,5.93,33.71,385.51,51.57,17.89,Loamy,1.52,10.81,12.19,West,2045,Kharif,Sprinkler,263.13,23.36,6.19
cotton,66,34,140,7.03,23.85,2022.64,62.55,36.23,Sandy,1.49,7.68,5.39,West,558,Zaid,Drip,317.77,24.08,10.64
cotton,113,40,82,5.66,23.59,2229.66,57.47,39.07,Clay,0.4,10.29,15.15,Central,1384,Kharif,Drip,255.76,24.16,6.64
cotton,94,69,119,8.15,30.57,1896.13,60.4,63.91,Sandy,1.11,4.8,11.24,West,1817,Zaid,Canal,190.57,18.16,6.9
cotton,130,43,93,6.38,15.93,1070.41,45.15,15.31,Silt,1.23,4.06,1.4,East,726,Zaid,Canal,248.36,1.82,8.26
cotton,38,74,29,7.38,15.83,2553.94,31.79,29.56,Sandy,1.51,4.08,9.18,East,466,Kharif,Sprinkler,124.24,21.56,6.02
cotton,67,83,74,6.85,31.59,958.17,31.91,37.32,Loamy,1.28,9.58,17.64,West,256,Kharif,Sprinkler,131.65,11.95,8.07
cotton,43,84,73,7.37,10.09,2467.82,64.34,53.18,Clay,0.38,9.97,11.12,West,1305,Rabi,Drip,132.5,22.56,7.43
cotton,59,92,68,5.9,11.95,2266.72,89.64,25.19,Loamy,0.84,5.54,15.16,East,1025,Zaid,Sprinkler,186.08,6.58,7.01
cotton,101,38,60,5.56,25.11,1009.52,63.41,37.83,Silt,0.6,4.84,2.06,North,233,Rabi,Rainfed,280.61,9.89,7.54
cotton,68,42,118,4.83,13.98,2439.44,58.56,53.66,Clay,1.46,9.16,15.67,East,215,Rabi,Canal,192.47,13.55,7.02
cotton,154,17,66,5.79,39.51,1056.31,56.57,43.68,Sandy,1.3,9.26,9.32,North,788,Kharif,Drip,241.35,14.71,6.18
cotton,92,65,127,6.98,17.85,799.08,85.98,28.2,Sandy,0.83,8.37,13.62,East,840,Rabi,Rainfed,278.65,6.43,7.23
cotton,68,79,35,5.14,17.95,1281.16,55.13,38.98,Loamy,1.51,6.99,5.97,South,1650,Kharif,Drip,282.53,0.01,8.11
cotton,67,42,110,5.32,38.51,1750.98,66.85,49.43,Loamy,0.91,8.07,5.21,East,1986,Kharif,Sprinkler,153.95,6.87,6.36
cotton,165,66,122,5.4,33.31,838.83,34.0,50.73,Loamy,1.52,6.34,10.83,East,164,Zaid,Rainfed,108.03,23.15,5.66
cotton,105,88,126,7.24,38.9,2470.28,41.73,59.24,Clay,1.47,10.68,14.68,South,766,Kharif,Sprinkler,242.09,21.41,10.89
cotton,159,29,103,4.97,13.24,950.29,51.75,30.5,Clay,1.2,10.26,11.96,Central,298,Rabi,Rainfed,282.8,11.3,5.63
cotton,103,83,85,6.78,23.56,954.08,32.03,57.11,Sandy,0.65,4.4,2.41,North,1078,Zaid,Canal,135.0,18.86,7.84
cotton,76,46,93,7.79,38.77,1590.23,57.16,16.61,Sandy,1.36,10.8,12.73,West,219,Rabi,Drip,135.24,18.86,4.61
cotton,101,68,69,7.04,36.64,2363.61,74.18,62.67,Loamy,0.43,7.29,11.16,South,69,Kharif,Sprinkler,135.47,15.19,10.13
cotton,121,26,146,5.46,24.85,362.15,42.19,38.42,Silt,0.5,10.63,12.92,North,54,Kharif,Drip,270.22,3.27,7.3
cotton,151,84,40,5.45,18.77,2041.35,69.55,18.14,Silt,1.04,7.94,3.39,Central,156,Zaid,Rainfed,319.82,5.24,8.48
cotton,166,26,95,7.82,11.55,2782.38,88.67,62.23,Sandy,0.8,5.74,11.01,South,156,Zaid,Rainfed,306.7,14.35,10.89
cotton,80,55,110,5.29,28.82,2077.59,80.83,42.38,Silt,0.41,5.25,12.88,West,124,Kharif,Rainfed,75.55,3.04,7.49
cotton,58,39,115,6.43,34.77,2349.35,85.49,40.14,Loamy,1.27,7.61,11.34,Central,1769,Rabi,Canal,170.04,5.49,8.05
cotton,130,62,122,7.95,19.46,1462.1,87.39,19.18,Clay,1.07,9.33,16.9,East,1391,Zaid,Canal,238.8,5.3,6.14
cotton,92,25,100,6.28,34.11,653.22,89.72,57.52,Sandy,0.35,6.09,15.08,North,1292,Zaid,Sprinkler,150.44,8.79,7.93
cotton,82,61,135,6.9,33.92,1456.25,42.35,43.67,Loamy,1.13,6.83,11.81,West,386,Rabi,Drip,346.21,24.63,8.27
cotton,67,74,149,7.92,36.53,2089.28,83.91,18.63,Clay,1.25,5.21,16.97,East,1718,Zaid,Sprinkler,118.99,19.64,6.16
cotton,115,19,49,6.16,38.18,1053.74,47.34,57.09,Silt,0.33,7.84,2.55,Central,146,Rabi,Rainfed,186.77,13.49,10.5
cotton,91,21,114,4.94,23.07,1730.12,89.45,23.95,Loamy,0.51,4.7,3.62,North,882,Zaid,Canal,122.75,2.73,6.82
cotton,92,62,29,7.19,37.72,558.05,34.86,35.28,Sandy,1.41,9.17,5.86,West,2194,Zaid,Sprinkler,330.1,2.0,7.99
cotton,94,83,75,4.88,28.01,1013.9,41.11,41.74,Clay,0.94,6.89,17.97,South,516,Rabi,Rainfed,98.71,24.0,3.77
cotton,96,47,81,7.61,27.53,2154.3,78.45,57.11,Silt,1.17,5.45,16.61,East,614,Kharif,Canal,164.7,8.53,8.21
cotton,126,47,135,4.8,39.68,1990.84,45.0,31.35,Clay,0.4,10.54,1.0,North,368,Zaid,Rainfed,88.16,15.66,7.18
cotton,117,76,71,5.02,30.69,1227.09,49.26,52.1,Clay,1.22,6.91,10.57,West,1140,Zaid,Rainfed,107.85,0.16,5.2
cotton,171,21,98,5.42,11.39,891.4,53.5,30.58,Loamy,1.24,10.1,4.41,West,778,Rabi,Canal,158.48,9.69,5.19
cotton,111,77,66,7.84,29.07,606.19,68.66,61.55,Loamy,0.85,5.68,2.99,South,721,Rabi,Rainfed,178.37,18.93,5.37
cotton,31,95,59,4.88,22.64,866.62,42.37,63.03,Silt,0.35,5.4,11.38,Central,1056,Rabi,Sprinkler,192.76,5.61,7.04
cotton,76,73,113,6.98,37.62,2223.74,53.6,58.42,Clay,0.71,4.31,11.47,West,1140,Kharif,Canal,233.97,2.45,10.97
cotton,148,32,105,5.44,18.26,1357.07,34.77,18.15,Loamy,1.34,5.99,7.05,East,109,Zaid,Drip,129.91,3.78,5.85
cotton,66,96,91,6.11,17.04,392.37,65.72,16.92,Clay,0.75,9.41,16.51,West,465,Kharif,Canal,263.75,24.99,5.78
cotton,82,95,124,4.8,29.88,1690.39,58.11,47.96,Clay,0.43,4.04,10.4,North,30,Kharif,Sprinkler,254.16,9.28,6.49
cotton,115,84,90,8.12,29.0,2712.35,86.41,47.92,Silt,1.36,6.7,14.35,South,592,Zaid,Drip,343.83,1.85,8.92
cotton,110,28,128,7.39,38.07,1404.68,72.98,16.43,Loamy,0.46,5.05,2.8,West,347,Zaid,Drip,158.34,14.35,4.96
cotton,149,52,116,6.87,33.81,1716.39,63.7,42.56,Clay,0.7,9.03,1.86,South,2029,Zaid,Canal,225.9,20.65,8.61
cotton,38,71,49,6.3,25.07,1703.03,53.47,42.81,Sandy,0.92,9.1,11.55,East,336,Zaid,Sprinkler,199.04,11.79,7.63
cotton,58,57,145,6.8,28.54,1087.5,65.85,22.21,Sandy,0.76,9.74,15.59,East,1515,Rabi,Canal,163.64,4.93,5.36
cotton,104,23,67,5.99,10.39,1718.77,44.21,50.16,Silt,1.57,10.22,4.03,Central,1760,Zaid,Rainfed,173.42,2.2,8.52
cotton,157,57,44,7.7,17.55,777.38,71.64,38.76,Silt,1.3,9.0,10.53,North,1849,Zaid,Drip,106.36,12.25,6.57
cotton,71,71,73,6.71,16.89,863.72,42.38,35.99,Sandy,1.28,7.12,6.25,East,1711,Rabi,Sprinkler,331.46,23.59,9.53
cotton,129,67,53,6.54,22.16,1762.8,44.27,33.92,Silt,1.24,9.05,2.31,East,1153,Zaid,Canal,290.81,13.46,8.26
cotton,70,30,103,7.95,38.48,1669.49,59.67,39.84,Clay,0.52,7.17,15.07,East,204,Rabi,Drip,72.1,6.6,3.46
cotton,41,56,87,5.2,20.13,1667.74,32.0,60.95,Loamy,0.61,10.38,16.07,South,305,Kharif,Rainfed,335.18,23.2,6.8
cotton,93,99,22,6.01,32.74,890.61,33.23,57.38,Sandy,1.33,7.31,12.81,South,1880,Kharif,Drip,289.59,18.04,8.23
cotton,68,91,139,5.55,39.15,300.7,38.76,59.14,Loamy,0.89,4.52,5.04,West,1860,Rabi,Canal,75.87,15.16,6.09
cotton,83,90,128,6.9,31.52,470.51,89.9,52.99,Loamy,0.67,5.48,13.64,North,179,Rabi,Drip,155.29,20.14,7.02
cotton,127,22,111,7.53,33.74,1772.56,34.85,32.71,Sandy,1.34,5.13,1.81,West,525,Zaid,Drip,112.49,9.08,6.82
cotton,65,77,70,5.12,17.73,1082.22,58.38,42.97,Clay,0.64,8.87,13.92,East,1904,Kharif,Canal,133.15,10.84,4.25
cotton,138,23,92,5.55,19.07,359.07,42.31,34.38,Clay,0.38,9.41,17.26,West,457,Kharif,Sprinkler,177.53,4.27,4.61
cotton,158,85,113,4.92,22.37,679.08,31.38,37.26,Silt,0.81,8.47,6.29,East,563,Rabi,Canal,142.3,7.04,3.75
cotton,41,68,94,6.21,34.5,588.63,78.93,47.16,Sandy,1.18,8.32,17.77,South,1272,Zaid,Sprinkler,320.63,20.1,5.98
