label,n,p,k,ph,temperature,rainfall,humidity,soil_type
soybean,51,72,75,7.1,18.89,80.11,14.99,loamy
maize,76,44,17,5.86,20.42,65.28,62.55,sandy loam
tomatoes,107,22,54,6.63,28.0,21.62,90.85,sandy loam
rice,93,53,38,7.07,26.93,290.68,81.91,clay
guinea_corn,5,13,37,5.65,22.34,103.32,89.79,sandy loam
soybean,27,79,82,6.31,17.07,70.87,17.54,loamy
soybean,35,57,83,7.48,19.48,80.5,17.45,loamy
yam,19,53,22,6.85,27.86,42.83,80.45,loamy
pepper,107,5,52,6.88,26.66,57.41,89.98,loamy clay 
pepper,105,14,50,6.42,26.21,59.66,87.69,loamy clay 
guinea_corn,4,14,41,6.43,19.85,102.82,89.81,sandy loam
tomatoes,118,12,47,6.01,27.97,28.95,92.17,sandy loam
beans,32,79,15,5.71,23.91,81.6,20.75,clay
tomatoes,108,26,52,6.2,28.83,26.24,94.27,sandy loam
orange,22,30,12,6.35,15.78,119.04,92.51,loamy
beans,27,69,22,5.93,17.92,69.15,24.91,clay
guinea_corn,40,9,41,5.78,24.38,106.13,85.4,sandy loam
yam,20,40,15,7.2,29.57,45.04,88.08,loamy
pepper,109,10,53,6.55,26.82,46.06,87.83,loamy clay 
guinea_corn,1,27,36,5.68,23.99,104.99,93.34,sandy loam
beans,12,78,23,6.0,16.07,88.07,18.72,clay
beans,28,80,17,5.81,19.62,144.16,18.67,clay
tomatoes,98,26,52,6.15,27.34,28.69,90.7,sandy loam
tomatoes,89,11,47,6.33,29.79,27.87,94.65,sandy loam
guinea_corn,4,20,41,6.54,24.27,104.54,93.8,sandy loam
rice,72,40,38,7.59,20.41,245.15,82.21,clay
rice,74,35,40,6.98,26.49,242.86,80.16,clay
soybean,39,58,85,6.0,17.89,68.55,15.41,loamy
soybean,53,73,77,7.33,19.71,73.64,18.1,loamy
guinea_corn,29,22,43,5.56,19.66,106.04,87.95,sandy loam
beans,37,74,15,5.58,24.92,62.71,18.23,clay
cassava,35,64,15,6.5,28.47,69.53,63.54,sandy loam
beans,9,80,19,5.95,21.81,125.1,18.57,clay
soybean,32,73,81,5.99,20.45,92.68,15.4,loamy
rice,60,55,44,7.84,23.0,263.96,82.32,clay
soybean,25,68,77,7.7,20.09,85.75,15.11,loamy
guinea_corn,1,27,36,5.68,23.99,104.99,93.34,sandy loam
maize,89,60,19,5.91,25.19,78.07,66.69,sandy loam
beans,12,78,23,6.0,16.07,88.07,18.72,clay
maize,93,41,17,6.05,25.62,105.47,66.5,sandy loam
rice,73,35,38,5.01,24.89,185.95,81.98,clay
beans,30,63,16,5.53,23.61,100.6,21.91,clay
beans,13,60,25,5.69,17.14,128.26,20.61,clay
beans,34,60,23,5.66,20.13,100.05,24.97,clay
orange,7,20,12,6.48,16.53,110.04,94.77,loamy
tomatoes,106,21,52,6.29,28.9,23.04,94.79,sandy loam
pepper,108,23,51,6.11,26.84,40.23,83.85,loamy clay 
cassava,58,73,16,6.87,33.37,64.9,65.68,sandy loam
maize,94,54,17,5.87,23.39,107.32,61.74,sandy loam
soybean,30,70,79,7.31,20.27,69.64,19.97,loamy
soybean,25,68,77,7.7,20.09,85.75,15.11,loamy
rice,78,40,38,7.55,26.46,248.23,83.86,clay
cassava,21,80,20,7.35,28.21,64.33,68.27,sandy loam
maize,72,60,25,5.77,18.53,88.1,69.03,sandy loam
tomatoes,106,20,51,6.34,29.73,20.49,90.97,sandy loam
pepper,101,17,55,6.45,24.37,44.64,87.13,loamy clay 
soybean,42,67,77,6.11,18.99,78.71,15.94,loamy
cassava,59,63,18,6.53,31.66,66.69,60.13,sandy loam
pepper,81,18,50,6.43,26.81,58.8,88.23,loamy clay 
pepper,110,21,54,6.75,26.74,47.46,87.82,loamy clay 
cassava,37,79,19,7.14,27.54,69.41,69.35,sandy loam
cassava,53,74,15,7.52,29.43,72.18,64.94,sandy loam
beans,37,70,25,5.82,19.73,84.06,24.89,clay
beans,17,77,23,5.67,24.51,64.19,20.82,clay
beans,34,60,23,5.66,20.13,100.05,24.97,clay
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
tomatoes,93,22,48,6.78,29.13,21.9,91.52,sandy loam
beans,13,60,25,5.69,17.14,128.26,20.61,clay
orange,33,15,7,7.65,15.83,109.76,91.68,loamy
tomatoes,117,19,55,6.12,28.8,25.16,91.78,sandy loam
orange,20,23,11,6.41,31.85,109.95,90.12,loamy
pepper,101,17,55,6.45,24.37,44.64,87.13,loamy clay 
maize,78,37,22,6.33,25.34,74.52,63.32,sandy loam
soybean,22,60,85,6.81,18.84,94.78,14.74,loamy
yam,34,35,21,6.68,28.45,58.19,82.68,loamy
guinea_corn,8,26,36,6.8,18.78,102.52,87.4,sandy loam
rice,89,54,38,6.69,24.52,230.45,83.54,clay
cassava,44,58,18,6.81,28.04,72.5,65.07,sandy loam
orange,7,20,12,6.48,16.53,110.04,94.77,loamy
maize,77,36,23,6.65,24.71,88.45,56.73,sandy loam
cassava,21,78,19,6.92,27.16,69.85,66.76,sandy loam
orange,21,29,12,6.44,22.3,117.37,92.16,loamy
soybean,41,69,82,6.72,20.02,68.98,16.63,loamy
tomatoes,99,29,55,6.66,29.19,26.48,91.46,sandy loam
maize,98,35,18,6.25,23.8,91.76,74.83,sandy loam
rice,85,58,41,7.04,21.77,226.66,80.32,clay
yam,0,49,18,6.99,29.68,41.82,87.94,loamy
orange,37,6,13,7.51,26.03,101.28,91.51,loamy
rice,95,52,36,5.54,26.23,286.51,83.84,clay
orange,13,5,8,7.47,23.85,103.92,90.11,loamy
guinea_corn,15,11,38,6.63,23.13,109.39,92.68,sandy loam
soybean,57,56,78,6.86,17.34,67.95,18.76,loamy
rice,67,43,39,6.0,26.04,186.75,84.97,clay
tomatoes,117,25,53,6.41,29.12,24.52,92.13,sandy loam
yam,31,53,16,6.45,28.74,48.55,85.82,loamy
guinea_corn,28,6,40,6.77,22.11,106.87,91.34,sandy loam
tomatoes,120,8,46,6.73,29.56,28.37,90.71,sandy loam
maize,63,58,22,6.2,18.25,63.72,55.28,sandy loam
orange,0,12,7,6.97,20.18,116.81,90.65,loamy
maize,83,57,19,6.88,25.73,98.74,70.75,sandy loam
tomatoes,117,25,53,6.41,29.12,24.52,92.13,sandy loam
pepper,111,6,53,6.31,26.49,46.06,88.59,loamy clay 
rice,85,58,41,7.04,21.77,226.66,80.32,clay
orange,36,11,13,7.19,17.34,112.72,93.05,loamy
pepper,81,6,55,6.11,24.89,51.71,85.87,loamy clay 
cassava,55,77,22,7.76,31.43,64.78,62.99,sandy loam
maize,72,60,25,5.77,18.53,88.1,69.03,sandy loam
beans,22,60,24,5.63,18.78,104.26,20.25,clay
pepper,80,16,46,6.94,25.5,48.48,81.4,loamy clay 
pepper,120,24,47,6.26,26.99,58.55,89.41,loamy clay 
yam,34,45,21,6.29,28.19,37.01,82.61,loamy
orange,33,15,7,7.65,15.83,109.76,91.68,loamy
orange,21,29,12,6.44,22.3,117.37,92.16,loamy
pepper,83,9,45,6.05,25.85,46.85,89.13,loamy clay 
tomatoes,87,21,52,6.07,27.35,27.21,94.29,sandy loam
orange,0,18,14,7.21,29.77,114.42,92.01,loamy
soybean,54,77,85,7.83,17.14,83.75,17.07,loamy
orange,4,13,6,7.56,15.63,101.47,94.26,loamy
maize,98,35,18,6.25,23.8,91.76,74.83,sandy loam
pepper,80,16,46,6.94,25.5,48.48,81.4,loamy clay 
maize,77,57,21,6.55,24.93,79.74,73.8,sandy loam
maize,80,43,16,6.66,23.56,66.72,71.59,sandy loam
rice,83,58,45,5.88,25.76,245.66,83.52,clay
soybean,41,69,82,6.72,20.02,68.98,16.63,loamy
guinea_corn,33,23,45,7.12,20.0,112.34,85.84,sandy loam
tomatoes,114,27,48,6.53,27.82,26.32,93.04,sandy loam
cassava,49,72,15,7.14,31.56,74.87,67.84,sandy loam
soybean,27,62,77,6.58,18.2,70.18,14.71,loamy
pepper,120,20,45,6.11,25.67,54.23,88.7,loamy clay 
beans,35,69,23,5.58,16.79,75.45,24.97,clay
tomatoes,99,12,52,6.0,28.7,22.22,94.31,sandy loam
maize,99,36,20,6.67,20.58,78.35,65.35,sandy loam
orange,14,19,14,6.7,17.68,108.06,94.36,loamy
soybean,59,69,80,8.17,19.08,69.41,17.87,loamy
pepper,107,10,49,6.76,25.83,45.25,89.0,loamy clay 
rice,60,43,44,7.42,21.02,298.4,82.95,clay
yam,31,53,16,6.45,28.74,48.55,85.82,loamy
yam,25,59,19,6.63,29.07,43.95,83.69,loamy
tomatoes,80,18,51,6.71,28.05,20.77,91.82,sandy loam
yam,11,60,23,7.03,27.34,51.1,88.5,loamy
yam,5,45,21,6.49,28.36,43.05,88.01,loamy
maize,76,51,18,6.25,26.17,79.85,71.96,sandy loam
pepper,81,16,45,6.73,26.9,59.76,86.25,loamy clay 
yam,21,51,15,6.68,29.36,48.3,89.19,loamy
guinea_corn,29,16,36,5.74,19.81,102.86,88.93,sandy loam
pepper,118,21,51,6.68,24.43,48.58,86.34,loamy clay 
guinea_corn,31,25,38,6.5,24.96,109.42,92.41,sandy loam
soybean,27,62,77,6.58,18.2,70.18,14.71,loamy
pepper,120,7,47,6.65,24.25,54.77,83.04,loamy clay 
guinea_corn,14,8,43,7.05,21.93,111.72,94.46,sandy loam
tomatoes,87,6,45,6.4,29.83,22.84,90.79,sandy loam
guinea_corn,37,18,39,6.42,24.15,110.23,94.51,sandy loam
soybean,28,76,82,6.65,20.57,83.76,14.26,loamy
pepper,120,24,47,6.26,26.99,58.55,89.41,loamy clay 
tomatoes,84,29,49,6.25,29.94,20.39,93.91,sandy loam
orange,12,6,8,6.39,30.85,107.41,92.87,loamy
soybean,26,80,83,7.53,17.08,71.31,16.15,loamy
orange,31,25,12,7.02,18.05,111.78,90.04,loamy
orange,37,6,13,7.51,26.03,101.28,91.51,loamy
guinea_corn,7,23,35,7.05,19.75,102.55,88.72,sandy loam
yam,8,54,20,7.03,28.33,38.8,80.77,loamy
soybean,24,56,85,6.55,18.2,80.64,17.41,loamy
cassava,53,67,17,7.3,31.78,61.47,69.02,sandy loam
cassava,52,70,16,7.53,33.67,67.33,66.6,sandy loam
yam,20,41,20,7.07,29.27,50.92,89.49,loamy
tomatoes,84,18,46,6.78,27.09,25.32,93.42,sandy loam
pepper,114,8,50,6.58,24.75,57.96,88.31,loamy clay 
rice,69,46,41,5.01,23.64,263.11,80.29,clay
beans,27,72,23,5.96,19.93,64.03,21.8,clay
guinea_corn,29,21,45,6.75,23.41,105.22,93.13,sandy loam
guinea_corn,40,18,43,5.77,19.39,109.91,86.79,sandy loam
cassava,49,68,22,7.13,28.57,63.5,61.53,sandy loam
yam,36,43,22,6.39,27.83,58.37,87.17,loamy
soybean,27,79,82,6.31,17.07,70.87,17.54,loamy
soybean,57,68,81,8.08,17.17,72.79,17.3,loamy
maize,80,43,16,6.66,23.56,66.72,71.59,sandy loam
beans,22,80,20,5.67,23.01,100.12,18.87,clay
beans,12,61,19,5.66,19.33,68.51,24.14,clay
yam,31,51,25,7.2,27.54,53.02,85.57,loamy
yam,31,37,21,6.71,27.24,37.31,86.4,loamy
rice,71,46,40,7.24,20.28,191.95,82.12,clay
soybean,57,60,84,6.59,19.1,75.49,17.26,loamy
beans,32,57,18,5.7,15.54,107.39,23.76,clay
guinea_corn,37,18,39,6.42,24.15,110.23,94.51,sandy loam
soybean,32,60,83,8.83,19.69,91.76,19.44,loamy
tomatoes,102,11,45,6.36,29.03,24.16,93.13,sandy loam
maize,92,44,16,6.08,18.88,94.76,65.77,sandy loam
maize,66,44,20,6.74,19.08,80.73,69.02,sandy loam
beans,23,62,19,5.61,16.52,98.78,20.46,clay
soybean,29,77,75,7.78,17.5,72.94,15.48,loamy
cassava,50,55,16,7.58,28.81,62.26,65.34,sandy loam
guinea_corn,20,7,45,6.08,18.91,112.48,89.24,sandy loam
orange,30,7,15,7.83,33.23,115.77,91.06,loamy
yam,6,37,17,6.76,28.09,38.14,80.35,loamy
soybean,53,65,76,6.72,20.19,77.34,16.42,loamy
guinea_corn,14,8,43,7.05,21.93,111.72,94.46,sandy loam
guinea_corn,19,17,39,6.73,24.72,111.28,85.56,sandy loam
pepper,107,5,52,6.88,26.66,57.41,89.98,loamy clay 
beans,37,72,18,5.72,18.88,105.41,24.54,clay
beans,14,59,15,5.78,21.35,146.45,22.91,clay
guinea_corn,24,21,42,7.0,20.82,109.44,87.23,sandy loam
tomatoes,111,15,54,6.19,27.71,22.06,92.91,sandy loam
tomatoes,90,23,54,6.16,28.56,27.27,90.46,sandy loam
orange,1,15,9,7.53,29.98,115.36,94.55,loamy
cassava,27,60,17,7.03,26.42,64.42,63.65,sandy loam
yam,19,35,24,6.88,27.11,49.12,83.64,loamy
guinea_corn,8,28,38,6.84,23.23,105.69,94.43,sandy loam
orange,18,12,8,6.21,12.59,119.39,91.82,loamy
pepper,119,19,55,6.82,25.19,46.87,83.45,loamy clay 
soybean,30,75,81,6.41,19.42,68.52,16.81,loamy
pepper,91,24,55,6.26,26.27,46.77,83.09,loamy clay 
tomatoes,117,25,54,6.15,28.68,29.11,92.51,sandy loam
pepper,83,10,53,6.2,24.93,48.76,85.01,loamy clay 
soybean,52,68,78,6.9,17.49,86.05,16.96,loamy
yam,21,51,15,6.68,29.36,48.3,89.19,loamy
pepper,86,15,47,6.42,24.04,53.79,84.18,loamy clay 
tomatoes,107,22,54,6.63,28.0,21.62,90.85,sandy loam
rice,99,55,35,6.5,21.72,277.96,80.24,clay
beans,37,74,15,5.58,24.92,62.71,18.23,clay
soybean,23,62,85,8.49,18.97,80.71,19.52,loamy
beans,17,59,17,5.69,18.42,132.98,23.43,clay
beans,24,80,22,5.64,16.71,96.77,19.18,clay
pepper,114,8,50,6.58,24.75,57.96,88.31,loamy clay 
tomatoes,84,18,46,6.78,27.09,25.32,93.42,sandy loam
beans,27,64,15,5.51,20.16,138.24,24.84,clay
orange,39,9,15,7.99,25.35,116.76,91.81,loamy
soybean,49,69,82,6.26,18.32,81.79,15.36,loamy
maize,86,55,21,6.8,21.54,109.75,59.64,sandy loam
pepper,86,6,53,6.92,25.92,42.11,83.47,loamy clay 
orange,0,25,14,6.36,19.34,116.45,91.98,loamy
rice,74,35,40,6.98,26.49,242.86,80.16,clay
maize,61,44,17,6.93,26.1,102.27,71.57,sandy loam
maize,93,41,17,6.05,25.62,105.47,66.5,sandy loam
soybean,27,62,77,6.58,18.2,70.18,14.71,loamy
cassava,21,78,19,6.92,27.16,69.85,66.76,sandy loam
rice,84,50,44,5.94,25.49,182.65,81.41,clay
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
pepper,82,22,45,6.51,26.22,54.6,85.35,loamy clay 
yam,24,44,17,6.67,29.86,50.66,80.03,loamy
rice,85,58,41,7.04,21.77,226.66,80.32,clay
maize,90,57,24,6.16,18.93,82.34,72.8,sandy loam
pepper,84,7,51,6.4,26.82,55.74,87.66,loamy clay 
cassava,29,70,15,6.87,30.33,74.17,63.55,sandy loam
tomatoes,114,27,48,6.53,27.82,26.32,93.04,sandy loam
orange,18,5,11,6.25,20.88,102.46,90.94,loamy
beans,32,68,19,5.51,24.63,149.74,18.18,clay
pepper,89,22,52,6.22,24.9,53.15,86.11,loamy clay 
beans,25,76,24,5.57,15.33,135.33,24.92,clay
guinea_corn,26,18,42,6.91,19.73,108.23,89.65,sandy loam
soybean,53,73,77,7.33,19.71,73.64,18.1,loamy
orange,31,26,9,7.57,11.7,103.2,93.26,loamy
guinea_corn,32,14,37,6.83,22.73,104.68,88.49,sandy loam
maize,72,60,25,5.77,18.53,88.1,69.03,sandy loam
orange,12,29,13,7.57,22.46,118.01,91.53,loamy
orange,8,16,6,7.11,12.23,108.42,90.26,loamy
soybean,33,75,84,7.22,19.46,68.81,18.73,loamy
tomatoes,113,28,48,6.17,28.88,24.44,92.49,sandy loam
yam,30,44,16,6.44,29.73,50.92,82.89,loamy
orange,39,28,10,7.18,31.35,109.15,91.48,loamy
guinea_corn,9,16,36,5.89,23.78,106.98,92.93,sandy loam
rice,95,52,36,5.54,26.23,286.51,83.84,clay
cassava,29,67,21,6.62,29.79,63.02,63.39,sandy loam
rice,88,35,40,5.85,23.58,291.3,83.59,clay
beans,0,55,22,5.92,22.99,143.86,20.58,clay
rice,93,47,37,6.5,21.53,295.92,82.14,clay
cassava,34,80,19,6.52,31.49,71.48,63.06,sandy loam
pepper,81,16,45,6.73,26.9,59.76,86.25,loamy clay 
orange,24,18,6,6.29,26.57,116.38,94.45,loamy
guinea_corn,0,5,36,6.15,24.35,105.53,90.89,sandy loam
beans,9,77,17,5.78,20.12,106.16,24.45,clay
orange,26,15,6,6.91,17.22,108.01,94.79,loamy
beans,18,74,15,5.71,24.9,146.47,22.28,clay
guinea_corn,15,11,38,6.63,23.13,109.39,92.68,sandy loam
soybean,30,65,82,6.11,20.71,76.78,15.28,loamy
yam,40,58,15,6.98,29.46,43.15,87.61,loamy
beans,11,72,20,5.95,19.52,113.33,24.93,clay
orange,13,22,5,7.76,19.67,100.17,90.5,loamy
maize,69,51,23,6.8,22.22,106.62,72.85,sandy loam
pepper,83,10,53,6.2,24.93,48.76,85.01,loamy clay 
tomatoes,119,5,55,6.17,29.69,26.84,94.3,sandy loam
maize,77,57,21,6.55,24.93,79.74,73.8,sandy loam
beans,12,63,17,5.72,18.36,138.41,19.38,clay
pepper,98,8,51,6.26,26.18,49.43,86.52,loamy clay 
soybean,59,70,84,7.55,17.33,82.62,18.75,loamy
rice,68,57,43,5.71,26.09,182.9,80.38,clay
soybean,30,75,81,6.41,19.42,68.52,16.81,loamy
rice,91,50,40,6.46,20.82,230.22,84.13,clay
tomatoes,114,27,48,6.53,27.82,26.32,93.04,sandy loam
yam,34,59,23,6.94,28.56,56.48,83.25,loamy
orange,34,10,14,6.73,34.05,116.8,92.06,loamy
pepper,115,11,46,6.62,24.42,40.32,89.4,loamy clay 
pepper,102,28,54,6.86,25.16,55.5,80.28,loamy clay 
pepper,112,25,51,6.93,25.05,56.72,85.57,loamy clay 
soybean,59,60,84,7.69,19.03,94.71,18.67,loamy
guinea_corn,8,28,37,6.08,23.88,108.31,86.21,sandy loam
cassava,50,64,25,6.73,28.84,70.25,63.37,sandy loam
pepper,107,5,52,6.88,26.66,57.41,89.98,loamy clay 
tomatoes,113,6,52,6.74,27.76,25.22,90.36,sandy loam
yam,4,59,25,6.23,27.69,54.62,81.94,loamy
tomatoes,95,16,46,6.75,27.08,24.45,90.14,sandy loam
rice,95,52,36,5.54,26.23,286.51,83.84,clay
