source_file,canonical_feature,original_column,available,transformation,unit_status,semantic_status,approved_for_training
crop_yield.csv,rainfall,rainfall,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,soil_type,soil_type,True,syntax_normalization_only,not_applicable,direct_name_match,False
data_core.csv,ph,,False,none,not_applicable,not_available,False
data_core.csv,n,n,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,p,p,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,k,k,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,soil_moisture,soil_moisture,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,temperature,temperature,True,numeric_coercion_only,unverified,direct_name_match,False
data_core.csv,rainfall,,False,none,not_applicable,not_available,False
original_dataset.csv,soil_type,soil_type,True,syntax_normalization_only,not_applicable,direct_name_match,False
original_dataset.csv,ph,ph,True,numeric_coercion_only,unverified,direct_name_match,False
original_dataset.csv,n,n,True,numeric_coercion_only,unverified,direct_name_match,False
original_dataset.csv,p,p,True,numeric_coercion_only,unverified,direct_name_match,False
original_dataset.csv,k,k,True,numeric_coercion_only,unverified,direct_name_match,False
original_dataset.csv,soil_moisture,,False,none,not_applicable,excluded_atmospheric_humidity_is_not_soil_moisture,False
original_dataset.csv,temperature,temperature,True,numeric_coercion_only,unverified,direct_name_match,False
original_dataset.csv,rainfall,rainfall,True,numeric_coercion_only,unverified,direct_name_match,False
